Location,Vehicle_Count,NO2_Emissions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment,Hour,Day_of_Week,Weather_Conditions_Cloudy,Weather_Conditions_Hazy,Weather_Conditions_Rainy,High_Congestion
Madina Town,312,10.88,18.0,0,Use Jaranwala Bypass,4,1,False,False,True,1
Canal Road,83,17.98,56.166666666666664,0,No change needed,15,0,False,True,False,0
Clock Tower,68,37.32,58.666666666666664,0,No change needed,16,0,False,False,False,0
Clock Tower,60,49.17,60.0,0,No change needed,1,1,False,False,False,0
People's Colony,129,33.87,48.5,0,No change needed,20,1,False,False,True,0
D Ground,194,41.74,37.666666666666664,0,No change needed,22,3,True,False,False,0
People's Colony,87,35.68,55.5,0,No change needed,22,4,False,False,True,0
D Ground,85,48.3,55.833333333333336,1,No change needed,19,5,True,False,False,0
Ghulam Muhammad Abad,236,35.49,30.666666666666664,0,No change needed,4,5,True,False,False,1
Clock Tower,350,49.48,11.666666666666664,0,Use Circular Road alternative,21,3,False,True,False,1
D Ground,41,57.4,63.166666666666664,0,No change needed,15,3,False,False,True,0
D Ground,306,45.61,19.0,0,Take small connecting roads,0,1,False,False,False,1
People's Colony,380,66.68,6.666666666666664,1,"Avoid peak hours, use Jaranwala Road",18,4,True,False,False,1
People's Colony,199,15.23,36.833333333333336,0,No change needed,15,6,True,False,False,0
Susan Road,163,70.7,42.83333333333333,0,No change needed,21,0,True,False,False,0
Clock Tower,354,48.96,11.0,0,Use Circular Road alternative,12,3,False,False,False,1
Kohinoor City,193,46.68,37.833333333333336,1,No change needed,17,5,False,False,False,0
Ghulam Muhammad Abad,377,65.05,7.166666666666664,0,Take side streets via Millat Road,4,3,True,False,False,1
D Ground,267,75.99,25.5,0,Take small connecting roads,3,1,True,False,False,1
People's Colony,236,34.24,30.666666666666664,1,No change needed,19,1,False,False,True,1
Kohinoor City,218,48.3,33.666666666666664,1,No change needed,19,5,False,False,True,1
Susan Road,123,41.2,49.5,0,No change needed,1,4,True,False,False,0
Canal Road,239,52.95,30.166666666666664,1,No change needed,18,2,False,True,False,1
Susan Road,80,45.82,56.666666666666664,0,No change needed,3,4,False,True,False,0
Madina Town,144,63.41,46.0,0,No change needed,4,4,False,True,False,0
Susan Road,48,76.06,62.0,0,No change needed,4,0,True,False,False,0
Madina Town,322,43.62,16.333333333333336,0,Use Jaranwala Bypass,1,5,False,False,True,1
D Ground,315,39.5,17.5,0,Take small connecting roads,20,6,True,False,False,1
Kohinoor City,77,41.89,57.166666666666664,0,No change needed,12,2,False,False,True,0
Clock Tower,215,72.78,34.166666666666664,0,No change needed,15,4,True,False,False,1
Clock Tower,168,78.69,42.0,0,No change needed,3,0,False,True,False,0
D Ground,232,46.45,31.333333333333336,0,No change needed,13,0,False,False,True,1
People's Colony,104,56.74,52.66666666666667,0,No change needed,23,0,False,True,False,0
Madina Town,23,25.84,66.16666666666667,1,No change needed,17,1,False,True,False,0
Canal Road,141,76.67,46.5,1,No change needed,18,6,False,True,False,0
People's Colony,345,70.4,12.5,0,"Avoid peak hours, use Jaranwala Road",22,3,True,False,False,1
People's Colony,151,21.76,44.83333333333333,0,No change needed,4,1,True,False,False,0
Ghulam Muhammad Abad,177,12.51,40.5,0,No change needed,15,5,False,False,True,0
Clock Tower,39,63.72,63.5,0,No change needed,2,0,True,False,False,0
People's Colony,288,26.3,22.0,0,"Avoid peak hours, use Jaranwala Road",12,5,False,False,True,1
Ghulam Muhammad Abad,388,77.53,5.333333333333329,0,Take side streets via Millat Road,16,2,True,False,False,1
Clock Tower,107,42.13,52.16666666666667,1,No change needed,18,4,False,False,False,0
Clock Tower,269,30.9,25.166666666666664,1,Use Circular Road alternative,17,0,False,False,True,1
Canal Road,352,38.63,11.333333333333336,0,Use Expressway,21,2,False,True,False,1
Clock Tower,37,38.4,63.833333333333336,0,No change needed,21,3,False,True,False,0
Ghulam Muhammad Abad,104,13.52,52.66666666666667,1,No change needed,18,4,False,False,True,0
Susan Road,207,79.92,35.5,0,No change needed,16,0,False,False,False,0
Ghulam Muhammad Abad,69,44.98,58.5,0,No change needed,23,2,False,False,True,0
Kohinoor City,147,51.6,45.5,0,No change needed,16,3,False,False,False,0
Susan Road,242,27.49,29.666666666666664,0,No change needed,4,1,True,False,False,1
People's Colony,90,31.58,55.0,0,No change needed,16,1,False,True,False,0
Ghulam Muhammad Abad,132,69.52,48.0,1,No change needed,19,6,False,False,True,0
Canal Road,175,38.45,40.83333333333333,0,No change needed,12,2,False,False,False,0
Madina Town,89,18.33,55.166666666666664,0,No change needed,22,3,False,False,True,0
Ghulam Muhammad Abad,153,35.89,44.5,0,No change needed,1,3,False,False,True,0
D Ground,205,32.06,35.833333333333336,1,No change needed,17,5,False,False,True,0
Kohinoor City,47,10.54,62.166666666666664,0,No change needed,14,3,False,False,True,0
Susan Road,86,15.71,55.666666666666664,0,No change needed,0,3,False,False,False,0
People's Colony,42,45.05,63.0,0,No change needed,4,4,False,False,True,0
People's Colony,189,67.84,38.5,1,No change needed,18,6,False,True,False,0
Susan Road,129,17.03,48.5,0,No change needed,3,6,False,False,True,0
Ghulam Muhammad Abad,239,25.12,30.166666666666664,1,No change needed,19,5,False,False,True,1
Susan Road,291,46.35,21.5,0,Use Madina Town Bypass,15,3,False,False,True,1
People's Colony,292,53.31,21.333333333333336,0,"Avoid peak hours, use Jaranwala Road",15,1,False,False,True,1
Madina Town,132,69.88,48.0,1,No change needed,17,0,False,False,False,0
Ghulam Muhammad Abad,234,55.69,31.0,0,No change needed,16,6,False,True,False,1
Canal Road,193,52.8,37.833333333333336,0,No change needed,23,1,False,False,False,0
Madina Town,240,49.56,30.0,0,No change needed,20,3,False,False,True,1
People's Colony,34,28.53,64.33333333333333,0,No change needed,3,4,False,True,False,0
D Ground,38,13.39,63.666666666666664,0,No change needed,16,6,False,True,False,0
Canal Road,307,48.84,18.833333333333336,0,Use Expressway,1,6,True,False,False,1
Canal Road,88,74.92,55.333333333333336,1,No change needed,18,6,False,True,False,0
Kohinoor City,332,47.22,14.666666666666664,0,Divert via Satyana Road,21,5,False,False,False,1
Canal Road,345,62.02,12.5,1,Use Expressway,19,3,False,False,False,1
People's Colony,223,68.32,32.833333333333336,0,No change needed,13,6,False,False,True,1
Ghulam Muhammad Abad,308,72.64,18.666666666666664,0,Take side streets via Millat Road,0,5,False,False,False,1
People's Colony,258,61.54,27.0,1,"Avoid peak hours, use Jaranwala Road",18,2,True,False,False,1
Ghulam Muhammad Abad,220,43.72,33.333333333333336,0,No change needed,23,2,False,False,True,1
Kohinoor City,326,24.03,15.666666666666664,0,Divert via Satyana Road,12,6,False,True,False,1
Canal Road,307,57.96,18.833333333333336,0,Use Expressway,12,1,False,True,False,1
Madina Town,244,58.77,29.333333333333336,0,No change needed,0,5,False,True,False,1
People's Colony,38,29.41,63.666666666666664,0,No change needed,4,4,False,False,True,0
Madina Town,68,42.11,58.666666666666664,0,No change needed,21,0,True,False,False,0
Canal Road,240,49.06,30.0,0,No change needed,1,3,False,True,False,1
Canal Road,219,33.19,33.5,1,No change needed,19,6,False,True,False,1
Clock Tower,198,40.64,37.0,0,No change needed,1,0,False,False,True,0
Madina Town,241,28.88,29.833333333333336,0,No change needed,23,6,True,False,False,1
Ghulam Muhammad Abad,347,58.58,12.166666666666664,0,Take side streets via Millat Road,1,5,False,False,True,1
Kohinoor City,145,31.46,45.83333333333333,0,No change needed,14,1,False,False,False,0
Clock Tower,242,13.8,29.666666666666664,0,No change needed,1,1,False,True,False,1
Susan Road,175,19.88,40.83333333333333,0,No change needed,22,1,False,True,False,0
Kohinoor City,38,33.83,63.666666666666664,0,No change needed,0,4,True,False,False,0
Madina Town,326,66.89,15.666666666666664,0,Use Jaranwala Bypass,23,4,True,False,False,1
Madina Town,326,28.06,15.666666666666664,0,Use Jaranwala Bypass,1,1,False,False,False,1
Madina Town,204,57.84,36.0,0,No change needed,16,1,False,False,False,0
Kohinoor City,275,41.89,24.166666666666664,0,Divert via Satyana Road,0,4,False,False,False,1
Ghulam Muhammad Abad,231,42.52,31.5,0,No change needed,15,5,False,True,False,1
Canal Road,166,17.79,42.33333333333333,1,No change needed,18,1,False,False,False,0
D Ground,189,23.86,38.5,0,No change needed,2,4,False,True,False,0
People's Colony,223,29.15,32.833333333333336,0,No change needed,0,3,True,False,False,1
Susan Road,399,79.92,5.0,0,Use Madina Town Bypass,21,1,True,False,False,1
Susan Road,253,44.53,27.833333333333336,0,Use Madina Town Bypass,12,6,False,False,False,1
Clock Tower,263,46.04,26.166666666666664,0,Use Circular Road alternative,3,5,False,True,False,1
Clock Tower,155,32.13,44.16666666666667,1,No change needed,17,1,False,True,False,0
Madina Town,31,74.5,64.83333333333333,1,No change needed,19,0,True,False,False,0
Clock Tower,337,13.57,13.833333333333336,0,Use Circular Road alternative,15,4,False,False,False,1
Kohinoor City,376,76.71,7.333333333333336,0,Divert via Satyana Road,16,4,True,False,False,1
Susan Road,115,78.98,50.83333333333333,0,No change needed,20,4,False,False,True,0
People's Colony,260,55.3,26.666666666666664,0,"Avoid peak hours, use Jaranwala Road",20,6,True,False,False,1
Kohinoor City,27,78.99,65.5,0,No change needed,12,2,False,False,True,0
D Ground,244,51.36,29.333333333333336,0,No change needed,23,3,False,True,False,1
Kohinoor City,52,23.18,61.333333333333336,0,No change needed,21,4,False,True,False,0
People's Colony,223,20.71,32.833333333333336,0,No change needed,3,3,False,True,False,1
Canal Road,82,23.33,56.333333333333336,0,No change needed,12,0,False,False,True,0
Kohinoor City,349,41.31,11.833333333333336,0,Divert via Satyana Road,3,0,False,True,False,1
People's Colony,320,41.61,16.666666666666664,1,"Avoid peak hours, use Jaranwala Road",18,0,False,True,False,1
Madina Town,188,12.76,38.66666666666667,0,No change needed,2,4,True,False,False,0
Susan Road,272,45.29,24.666666666666664,0,Use Madina Town Bypass,13,5,False,True,False,1
People's Colony,190,45.66,38.33333333333333,0,No change needed,4,0,False,False,True,0
Madina Town,212,31.55,34.666666666666664,0,No change needed,1,1,False,True,False,0
Susan Road,118,51.95,50.33333333333333,0,No change needed,22,1,True,False,False,0
Ghulam Muhammad Abad,305,48.1,19.166666666666664,0,Take side streets via Millat Road,23,2,False,False,False,1
Madina Town,132,43.62,48.0,1,No change needed,18,2,False,False,False,0
People's Colony,347,14.76,12.166666666666664,0,"Avoid peak hours, use Jaranwala Road",20,2,False,True,False,1
Susan Road,395,28.54,5.0,0,Use Madina Town Bypass,23,4,False,False,True,1
People's Colony,313,35.48,17.833333333333336,0,"Avoid peak hours, use Jaranwala Road",3,4,True,False,False,1
Kohinoor City,367,68.42,8.833333333333336,0,Divert via Satyana Road,20,5,True,False,False,1
Kohinoor City,213,73.23,34.5,1,No change needed,18,4,False,True,False,1
Madina Town,187,60.86,38.83333333333333,0,No change needed,12,2,False,True,False,0
Madina Town,34,49.42,64.33333333333333,1,No change needed,19,4,True,False,False,0
Madina Town,363,14.14,9.5,1,Use Jaranwala Bypass,19,1,False,False,False,1
Madina Town,349,70.58,11.833333333333336,0,Use Jaranwala Bypass,3,1,False,False,False,1
Madina Town,197,39.15,37.166666666666664,0,No change needed,20,0,False,False,True,0
Ghulam Muhammad Abad,194,56.3,37.666666666666664,0,No change needed,0,1,False,False,False,0
Canal Road,71,62.26,58.166666666666664,0,No change needed,3,0,False,False,False,0
Canal Road,242,21.9,29.666666666666664,0,No change needed,0,6,False,False,True,1
Madina Town,305,12.31,19.166666666666664,1,Use Jaranwala Bypass,18,0,False,False,True,1
Canal Road,248,39.99,28.666666666666664,0,No change needed,12,4,False,False,True,1
D Ground,110,67.59,51.66666666666667,0,No change needed,13,4,True,False,False,0
Ghulam Muhammad Abad,176,41.42,40.66666666666667,0,No change needed,1,6,False,False,True,0
Canal Road,276,22.97,24.0,0,Use Expressway,3,3,False,True,False,1
People's Colony,218,42.25,33.666666666666664,0,No change needed,16,3,False,False,False,1
Ghulam Muhammad Abad,254,48.88,27.666666666666664,0,Take side streets via Millat Road,13,5,True,False,False,1
Susan Road,261,33.93,26.5,0,Use Madina Town Bypass,0,1,False,False,False,1
Clock Tower,178,36.1,40.33333333333333,1,No change needed,18,2,False,False,False,0
Ghulam Muhammad Abad,148,26.26,45.33333333333333,0,No change needed,21,1,False,False,True,0
Kohinoor City,120,50.29,50.0,1,No change needed,17,2,False,False,True,0
Susan Road,47,78.38,62.166666666666664,1,No change needed,19,4,False,True,False,0
Madina Town,230,65.18,31.666666666666664,0,No change needed,12,3,False,False,False,1
Susan Road,165,41.77,42.5,0,No change needed,15,6,False,False,False,0
Madina Town,81,18.32,56.5,0,No change needed,4,2,False,False,False,0
Ghulam Muhammad Abad,55,46.75,60.833333333333336,0,No change needed,1,2,True,False,False,0
People's Colony,272,52.97,24.666666666666664,0,"Avoid peak hours, use Jaranwala Road",16,2,False,True,False,1
Susan Road,365,29.12,9.166666666666664,0,Use Madina Town Bypass,15,3,False,True,False,1
Madina Town,290,77.94,21.666666666666664,0,Use Jaranwala Bypass,13,1,False,True,False,1
Madina Town,365,48.65,9.166666666666664,0,Use Jaranwala Bypass,0,4,True,False,False,1
Madina Town,158,40.71,43.66666666666667,0,No change needed,22,4,False,False,False,0
Canal Road,27,75.31,65.5,0,No change needed,0,0,False,False,True,0
Susan Road,201,77.86,36.5,1,No change needed,18,3,True,False,False,0
Ghulam Muhammad Abad,261,41.91,26.5,0,Take side streets via Millat Road,2,4,False,False,False,1
Kohinoor City,125,17.35,49.16666666666667,0,No change needed,14,6,False,False,False,0
Kohinoor City,132,58.43,48.0,0,No change needed,3,0,False,True,False,0
People's Colony,356,63.83,10.666666666666664,0,"Avoid peak hours, use Jaranwala Road",21,2,False,False,True,1
People's Colony,347,41.53,12.166666666666664,0,"Avoid peak hours, use Jaranwala Road",1,1,False,True,False,1
Canal Road,332,17.27,14.666666666666664,0,Use Expressway,22,5,False,False,True,1
People's Colony,232,61.38,31.333333333333336,1,No change needed,18,5,False,True,False,1
Ghulam Muhammad Abad,160,72.74,43.33333333333333,1,No change needed,17,0,False,False,False,0
Susan Road,252,66.9,28.0,0,Use Madina Town Bypass,12,2,False,False,False,1
Canal Road,365,35.15,9.166666666666664,0,Use Expressway,16,2,False,False,True,1
Susan Road,377,14.86,7.166666666666664,1,Use Madina Town Bypass,18,0,False,True,False,1
Ghulam Muhammad Abad,374,79.18,7.666666666666664,0,Take side streets via Millat Road,20,0,False,False,False,1
Clock Tower,250,20.06,28.333333333333336,0,No change needed,13,0,False,False,False,1
Susan Road,205,66.46,35.833333333333336,0,No change needed,23,6,True,False,False,0
Madina Town,328,24.75,15.333333333333336,1,Use Jaranwala Bypass,18,1,True,False,False,1
Kohinoor City,258,56.63,27.0,1,Divert via Satyana Road,18,1,False,True,False,1
Ghulam Muhammad Abad,167,60.05,42.16666666666667,0,No change needed,21,2,False,False,False,0
Susan Road,52,20.82,61.333333333333336,0,No change needed,15,5,False,False,True,0
People's Colony,256,47.23,27.333333333333336,0,"Avoid peak hours, use Jaranwala Road",15,6,False,False,False,1
Ghulam Muhammad Abad,243,50.31,29.5,0,No change needed,14,4,False,False,True,1
Susan Road,82,46.71,56.333333333333336,0,No change needed,20,2,True,False,False,0
Ghulam Muhammad Abad,267,13.11,25.5,0,Take side streets via Millat Road,2,4,False,False,False,1
People's Colony,184,73.32,39.33333333333333,0,No change needed,16,1,False,False,True,0
Clock Tower,174,34.66,41.0,1,No change needed,17,3,False,True,False,0
D Ground,24,45.56,66.0,0,No change needed,1,6,False,False,False,0
Canal Road,352,66.37,11.333333333333336,0,Use Expressway,13,5,False,False,False,1
Clock Tower,26,11.73,65.66666666666667,0,No change needed,2,6,True,False,False,0
D Ground,361,76.78,9.833333333333336,0,Take small connecting roads,22,5,False,False,True,1
People's Colony,202,75.6,36.333333333333336,1,No change needed,17,4,True,False,False,0
Ghulam Muhammad Abad,76,18.2,57.333333333333336,0,No change needed,13,0,False,False,True,0
Ghulam Muhammad Abad,378,42.46,7.0,0,Take side streets via Millat Road,0,6,False,False,False,1
Madina Town,144,53.92,46.0,0,No change needed,20,1,False,True,False,0
Canal Road,221,65.52,33.166666666666664,0,No change needed,21,5,False,True,False,1
Susan Road,208,31.87,35.333333333333336,0,No change needed,2,2,False,False,True,0
D Ground,61,11.18,59.833333333333336,0,No change needed,14,3,True,False,False,0
Madina Town,389,27.52,5.166666666666671,1,Use Jaranwala Bypass,18,3,False,False,True,1
People's Colony,67,27.21,58.833333333333336,0,No change needed,2,4,False,False,False,0
Susan Road,21,53.54,66.5,1,No change needed,17,5,False,False,True,0
People's Colony,107,30.95,52.16666666666667,0,No change needed,0,0,False,False,False,0
Kohinoor City,111,73.08,51.5,1,No change needed,19,0,False,True,False,0
D Ground,48,32.53,62.0,0,No change needed,20,4,False,False,True,0
Clock Tower,75,23.88,57.5,0,No change needed,23,1,True,False,False,0
Susan Road,386,29.06,5.666666666666671,0,Use Madina Town Bypass,14,5,False,False,True,1
People's Colony,389,22.41,5.166666666666671,0,"Avoid peak hours, use Jaranwala Road",12,1,False,False,False,1
Ghulam Muhammad Abad,68,78.78,58.666666666666664,1,No change needed,17,0,False,False,True,0
Madina Town,116,38.52,50.66666666666667,0,No change needed,14,0,False,False,True,0
People's Colony,116,24.17,50.66666666666667,0,No change needed,16,5,False,False,False,0
People's Colony,343,45.92,12.833333333333336,0,"Avoid peak hours, use Jaranwala Road",16,0,False,False,False,1
People's Colony,85,23.72,55.833333333333336,0,No change needed,15,6,True,False,False,0
Canal Road,26,79.82,65.66666666666667,0,No change needed,3,5,False,False,True,0
Ghulam Muhammad Abad,221,27.66,33.166666666666664,0,No change needed,14,2,False,False,False,1
People's Colony,356,25.12,10.666666666666664,0,"Avoid peak hours, use Jaranwala Road",14,2,False,False,False,1
Ghulam Muhammad Abad,56,38.62,60.666666666666664,0,No change needed,0,6,False,True,False,0
People's Colony,25,45.52,65.83333333333333,0,No change needed,16,1,False,True,False,0
D Ground,233,36.35,31.166666666666664,1,No change needed,19,5,False,False,True,1
People's Colony,70,73.72,58.333333333333336,0,No change needed,3,0,True,False,False,0
Susan Road,290,67.99,21.666666666666664,1,Use Madina Town Bypass,19,4,False,True,False,1
People's Colony,358,74.3,10.333333333333336,0,"Avoid peak hours, use Jaranwala Road",15,1,False,False,True,1
D Ground,102,53.93,53.0,1,No change needed,18,0,False,False,False,0
Clock Tower,142,33.35,46.33333333333333,0,No change needed,3,4,False,False,False,0
Kohinoor City,274,64.39,24.333333333333336,0,Divert via Satyana Road,3,0,True,False,False,1
Clock Tower,33,12.28,64.5,0,No change needed,20,6,False,False,True,0
People's Colony,224,21.23,32.666666666666664,0,No change needed,13,3,False,True,False,1
D Ground,339,32.07,13.5,1,Take small connecting roads,18,0,True,False,False,1
Clock Tower,135,21.6,47.5,0,No change needed,15,1,False,True,False,0
Clock Tower,382,67.29,6.333333333333336,0,Use Circular Road alternative,14,2,False,False,True,1
Kohinoor City,154,11.27,44.33333333333333,0,No change needed,0,4,False,True,False,0
D Ground,242,37.46,29.666666666666664,0,No change needed,14,2,False,False,True,1
D Ground,161,14.08,43.16666666666667,0,No change needed,4,2,False,False,False,0
Susan Road,361,52.28,9.833333333333336,0,Use Madina Town Bypass,4,2,False,False,False,1
Ghulam Muhammad Abad,242,47.67,29.666666666666664,0,No change needed,22,5,False,True,False,1
People's Colony,370,76.85,8.333333333333336,0,"Avoid peak hours, use Jaranwala Road",1,5,False,False,False,1
Canal Road,152,54.62,44.66666666666667,0,No change needed,14,5,True,False,False,0
Kohinoor City,104,43.79,52.66666666666667,0,No change needed,21,2,False,True,False,0
D Ground,393,14.02,5.0,0,Take small connecting roads,14,4,False,False,True,1
Kohinoor City,261,53.25,26.5,0,Divert via Satyana Road,2,6,False,True,False,1
D Ground,297,34.38,20.5,0,Take small connecting roads,20,4,False,True,False,1
Kohinoor City,383,16.73,6.166666666666664,0,Divert via Satyana Road,15,4,False,False,True,1
Kohinoor City,365,10.48,9.166666666666664,0,Divert via Satyana Road,12,6,False,True,False,1
Susan Road,249,51.0,28.5,0,No change needed,23,6,False,False,False,1
D Ground,184,70.66,39.33333333333333,1,No change needed,19,1,False,False,False,0
People's Colony,129,21.31,48.5,0,No change needed,21,3,False,False,False,0
Canal Road,37,36.58,63.833333333333336,1,No change needed,17,5,False,False,False,0
Canal Road,208,78.41,35.333333333333336,0,No change needed,22,4,False,True,False,0
People's Colony,203,58.85,36.166666666666664,0,No change needed,16,2,False,False,False,0
Susan Road,163,43.8,42.83333333333333,0,No change needed,1,3,False,False,False,0
D Ground,332,78.94,14.666666666666664,0,Take small connecting roads,3,2,False,False,True,1
Susan Road,178,49.68,40.33333333333333,0,No change needed,20,5,False,True,False,0
Clock Tower,107,58.06,52.16666666666667,0,No change needed,1,4,False,True,False,0
Ghulam Muhammad Abad,181,31.77,39.83333333333333,0,No change needed,4,4,True,False,False,0
Clock Tower,335,33.02,14.166666666666664,0,Use Circular Road alternative,4,3,False,False,True,1
D Ground,128,13.14,48.66666666666667,0,No change needed,1,2,False,False,True,0
D Ground,109,39.15,51.83333333333333,0,No change needed,20,5,False,False,True,0
Susan Road,255,53.67,27.5,1,Use Madina Town Bypass,18,2,False,False,True,1
Madina Town,322,49.93,16.333333333333336,0,Use Jaranwala Bypass,12,1,True,False,False,1
Ghulam Muhammad Abad,187,32.57,38.83333333333333,0,No change needed,22,5,False,False,True,0
Madina Town,232,41.8,31.333333333333336,0,No change needed,14,3,False,True,False,1
Ghulam Muhammad Abad,383,14.99,6.166666666666664,0,Take side streets via Millat Road,21,5,True,False,False,1
Susan Road,353,27.15,11.166666666666664,1,Use Madina Town Bypass,18,3,True,False,False,1
D Ground,183,64.06,39.5,0,No change needed,23,1,False,True,False,0
Canal Road,292,39.58,21.333333333333336,0,Use Expressway,21,6,True,False,False,1
Susan Road,289,41.96,21.833333333333336,0,Use Madina Town Bypass,22,6,False,True,False,1
Clock Tower,105,17.08,52.5,0,No change needed,23,5,False,False,False,0
Kohinoor City,255,33.76,27.5,0,Divert via Satyana Road,15,3,True,False,False,1
Madina Town,175,46.0,40.83333333333333,0,No change needed,12,4,False,False,False,0
Madina Town,367,76.4,8.833333333333336,0,Use Jaranwala Bypass,20,1,False,False,True,1
Clock Tower,358,68.43,10.333333333333336,0,Use Circular Road alternative,16,3,True,False,False,1
Kohinoor City,230,13.32,31.666666666666664,0,No change needed,14,0,True,False,False,1
Clock Tower,160,62.26,43.33333333333333,0,No change needed,13,5,False,False,False,0
Madina Town,140,38.3,46.66666666666667,0,No change needed,13,6,True,False,False,0
Susan Road,254,37.81,27.666666666666664,1,Use Madina Town Bypass,18,6,False,False,False,1
Susan Road,51,64.14,61.5,0,No change needed,4,1,False,True,False,0
Canal Road,275,47.0,24.166666666666664,0,Use Expressway,14,2,True,False,False,1
Susan Road,397,31.92,5.0,0,Use Madina Town Bypass,15,1,False,False,True,1
D Ground,26,11.78,65.66666666666667,1,No change needed,19,2,False,False,False,0
Susan Road,291,31.07,21.5,0,Use Madina Town Bypass,21,0,False,True,False,1
Ghulam Muhammad Abad,371,53.82,8.166666666666664,1,Take side streets via Millat Road,18,2,False,False,True,1
Clock Tower,89,20.11,55.166666666666664,0,No change needed,16,2,False,True,False,0
Madina Town,189,18.86,38.5,0,No change needed,1,4,False,True,False,0
Madina Town,101,31.91,53.16666666666667,0,No change needed,14,2,True,False,False,0
People's Colony,107,47.79,52.16666666666667,0,No change needed,13,3,False,False,False,0
Ghulam Muhammad Abad,294,30.67,21.0,0,Take side streets via Millat Road,2,0,False,False,False,1
Kohinoor City,400,60.34,5.0,1,Divert via Satyana Road,19,2,False,False,True,1
Kohinoor City,79,46.84,56.833333333333336,0,No change needed,14,4,True,False,False,0
Canal Road,69,51.02,58.5,0,No change needed,22,4,False,True,False,0
Clock Tower,356,59.93,10.666666666666664,0,Use Circular Road alternative,12,3,False,False,True,1
Ghulam Muhammad Abad,115,67.92,50.83333333333333,1,No change needed,19,0,True,False,False,0
Kohinoor City,39,34.51,63.5,1,No change needed,19,0,False,False,True,0
Clock Tower,144,78.06,46.0,0,No change needed,0,3,False,False,False,0
Clock Tower,347,53.31,12.166666666666664,1,Use Circular Road alternative,17,0,True,False,False,1
Clock Tower,92,71.84,54.666666666666664,0,No change needed,1,0,False,False,False,0
Madina Town,325,34.84,15.833333333333336,1,Use Jaranwala Bypass,18,6,True,False,False,1
Madina Town,387,63.18,5.5,0,Use Jaranwala Bypass,1,2,False,False,True,1
Madina Town,262,68.68,26.333333333333336,0,Use Jaranwala Bypass,3,2,False,True,False,1
Clock Tower,212,73.4,34.666666666666664,0,No change needed,22,6,False,False,True,0
Susan Road,172,74.4,41.33333333333333,1,No change needed,17,6,False,False,True,0
Madina Town,33,15.85,64.5,0,No change needed,15,4,False,True,False,0
Canal Road,144,36.71,46.0,0,No change needed,23,3,False,False,False,0
Susan Road,122,12.19,49.66666666666667,0,No change needed,3,5,False,False,False,0
D Ground,288,77.04,22.0,0,Take small connecting roads,22,0,False,False,False,1
People's Colony,174,73.75,41.0,0,No change needed,22,3,False,False,True,0
Ghulam Muhammad Abad,365,69.2,9.166666666666664,0,Take side streets via Millat Road,22,5,True,False,False,1
Ghulam Muhammad Abad,183,17.02,39.5,0,No change needed,21,5,False,False,False,0
D Ground,111,54.39,51.5,0,No change needed,0,0,False,False,True,0
Kohinoor City,287,60.01,22.166666666666664,1,Divert via Satyana Road,17,1,False,False,True,1
Clock Tower,263,65.21,26.166666666666664,0,Use Circular Road alternative,23,1,True,False,False,1
People's Colony,140,45.3,46.66666666666667,0,No change needed,14,5,False,True,False,0
